iteration;replicate;init_pop;fertility_type;heritability_type;mating_type;random_mating;leakage;fertility_factor
1009;18;1000;additive;preston;defined;0.1;0.1;0.25
1009;19;1000;additive;preston;defined;0.1;0.1;0.25
1009;2;1000;additive;preston;defined;0.1;0.1;0.25
1009;20;1000;additive;preston;defined;0.1;0.1;0.25
1009;21;1000;additive;preston;defined;0.1;0.1;0.25
1009;22;1000;additive;preston;defined;0.1;0.1;0.25
1009;23;1000;additive;preston;defined;0.1;0.1;0.25
1009;24;1000;additive;preston;defined;0.1;0.1;0.25
1009;25;1000;additive;preston;defined;0.1;0.1;0.25
1009;26;1000;additive;preston;defined;0.1;0.1;0.25
1009;27;1000;additive;preston;defined;0.1;0.1;0.25
1009;28;1000;additive;preston;defined;0.1;0.1;0.25
1009;29;1000;additive;preston;defined;0.1;0.1;0.25
1009;3;1000;additive;preston;defined;0.1;0.1;0.25
1009;30;1000;additive;preston;defined;0.1;0.1;0.25
1009;4;1000;additive;preston;defined;0.1;0.1;0.25
1009;5;1000;additive;preston;defined;0.1;0.1;0.25
1009;6;1000;additive;preston;defined;0.1;0.1;0.25
1009;7;1000;additive;preston;defined;0.1;0.1;0.25
1009;8;1000;additive;preston;defined;0.1;0.1;0.25
1009;9;1000;additive;preston;defined;0.1;0.1;0.25
100;1;1000;additive;preston;defined;0.16174100367385114;0.1858273357825676;0.0013035985304597874
100;10;1000;additive;preston;defined;0.16174100367385114;0.1858273357825676;0.0013035985304597874
100;11;1000;additive;preston;defined;0.16174100367385114;0.1858273357825676;0.0013035985304597874
100;12;1000;additive;preston;defined;0.16174100367385114;0.1858273357825676;0.0013035985304597874
100;13;1000;additive;preston;defined;0.16174100367385114;0.1858273357825676;0.0013035985304597874
100;14;1000;additive;preston;defined;0.16174100367385114;0.1858273357825676;0.0013035985304597874
100;15;1000;additive;preston;defined;0.16174100367385114;0.1858273357825676;0.0013035985304597874
100;16;1000;additive;preston;defined;0.16174100367385114;0.1858273357825676;0.0013035985304597874
100;17;1000;additive;preston;defined;0.16174100367385114;0.1858273357825676;0.0013035985304597874
100;18;1000;additive;preston;defined;0.16174100367385114;0.1858273357825676;0.0013035985304597874
100;19;1000;additive;preston;defined;0.16174100367385114;0.1858273357825676;0.0013035985304597874
100;2;1000;additive;preston;defined;0.16174100367385114;0.1858273357825676;0.0013035985304597874
100;20;1000;additive;preston;defined;0.16174100367385114;0.1858273357825676;0.0013035985304597874
100;21;1000;additive;preston;defined;0.16174100367385114;0.1858273357825676;0.0013035985304597874
100;22;1000;additive;preston;defined;0.16174100367385114;0.1858273357825676;0.0013035985304597874
100;23;1000;additive;preston;defined;0.16174100367385114;0.1858273357825676;0.0013035985304597874
100;24;1000;additive;preston;defined;0.16174100367385114;0.1858273357825676;0.0013035985304597874
100;25;1000;additive;preston;defined;0.16174100367385114;0.1858273357825676;0.0013035985304597874
100;26;1000;additive;preston;defined;0.16174100367385114;0.1858273357825676;0.0013035985304597874
100;27;1000;additive;preston;defined;0.16174100367385114;0.1858273357825676;0.0013035985304597874
100;28;1000;additive;preston;defined;0.16174100367385114;0.1858273357825676;0.0013035985304597874
100;29;1000;additive;preston;defined;0.16174100367385114;0.1858273357825676;0.0013035985304597874
100;3;1000;additive;preston;defined;0.16174100367385114;0.1858273357825676;0.0013035985304597874
100;30;1000;additive;preston;defined;0.16174100367385114;0.1858273357825676;0.0013035985304597874
100;4;1000;additive;preston;defined;0.16174100367385114;0.1858273357825676;0.0013035985304597874
100;5;1000;additive;preston;defined;0.16174100367385114;0.1858273357825676;0.0013035985304597874
100;6;1000;additive;preston;defined;0.16174100367385114;0.1858273357825676;0.0013035985304597874
100;7;1000;additive;preston;defined;0.16174100367385114;0.1858273357825676;0.0013035985304597874
100;8;1000;additive;preston;defined;0.16174100367385114;0.1858273357825676;0.0013035985304597874
100;9;1000;additive;preston;defined;0.16174100367385114;0.1858273357825676;0.0013035985304597874
1010;1;1000;additive;preston;defined;0.1;0.1;0.25
1010;10;1000;additive;preston;defined;0.1;0.1;0.25
1010;11;1000;additive;preston;defined;0.1;0.1;0.25
1010;12;1000;additive;preston;defined;0.1;0.1;0.25
1010;13;1000;additive;preston;defined;0.1;0.1;0.25
1010;14;1000;additive;preston;defined;0.1;0.1;0.25
1010;15;1000;additive;preston;defined;0.1;0.1;0.25
1010;16;1000;additive;preston;defined;0.1;0.1;0.25
1010;17;1000;additive;preston;defined;0.1;0.1;0.25
1010;18;1000;additive;preston;defined;0.1;0.1;0.25
1010;19;1000;additive;preston;defined;0.1;0.1;0.25
1010;2;1000;additive;preston;defined;0.1;0.1;0.25
1010;20;1000;additive;preston;defined;0.1;0.1;0.25
1010;21;1000;additive;preston;defined;0.1;0.1;0.25
1010;22;1000;additive;preston;defined;0.1;0.1;0.25
1010;23;1000;additive;preston;defined;0.1;0.1;0.25
1010;24;1000;additive;preston;defined;0.1;0.1;0.25
1010;25;1000;additive;preston;defined;0.1;0.1;0.25
1010;26;1000;additive;preston;defined;0.1;0.1;0.25
1010;27;1000;additive;preston;defined;0.1;0.1;0.25
1010;28;1000;additive;preston;defined;0.1;0.1;0.25
1010;29;1000;additive;preston;defined;0.1;0.1;0.25
1010;3;1000;additive;preston;defined;0.1;0.1;0.25
1010;30;1000;additive;preston;defined;0.1;0.1;0.25
1010;4;1000;additive;preston;defined;0.1;0.1;0.25
1010;5;1000;additive;preston;defined;0.1;0.1;0.25
1010;6;1000;additive;preston;defined;0.1;0.1;0.25
1010;7;1000;additive;preston;defined;0.1;0.1;0.25
1010;8;1000;additive;preston;defined;0.1;0.1;0.25
1010;9;1000;additive;preston;defined;0.1;0.1;0.25
1011;1;1000;additive;preston;defined;0.1;0.1;0.25
1011;10;1000;additive;preston;defined;0.1;0.1;0.25
1011;11;1000;additive;preston;defined;0.1;0.1;0.25
1011;12;1000;additive;preston;defined;0.1;0.1;0.25
1011;13;1000;additive;preston;defined;0.1;0.1;0.25
1011;14;1000;additive;preston;defined;0.1;0.1;0.25
1011;15;1000;additive;preston;defined;0.1;0.1;0.25
1011;16;1000;additive;preston;defined;0.1;0.1;0.25
1011;17;1000;additive;preston;defined;0.1;0.1;0.25
1011;18;1000;additive;preston;defined;0.1;0.1;0.25
1011;19;1000;additive;preston;defined;0.1;0.1;0.25
1011;2;1000;additive;preston;defined;0.1;0.1;0.25
1011;20;1000;additive;preston;defined;0.1;0.1;0.25
1011;21;1000;additive;preston;defined;0.1;0.1;0.25
1011;22;1000;additive;preston;defined;0.1;0.1;0.25
1011;23;1000;additive;preston;defined;0.1;0.1;0.25
1011;24;1000;additive;preston;defined;0.1;0.1;0.25
1011;25;1000;additive;preston;defined;0.1;0.1;0.25
1011;26;1000;additive;preston;defined;0.1;0.1;0.25
1011;27;1000;additive;preston;defined;0.1;0.1;0.25
1011;28;1000;additive;preston;defined;0.1;0.1;0.25
1011;29;1000;additive;preston;defined;0.1;0.1;0.25
1011;3;1000;additive;preston;defined;0.1;0.1;0.25
1011;30;1000;additive;preston;defined;0.1;0.1;0.25
1011;4;1000;additive;preston;defined;0.1;0.1;0.25
1011;5;1000;additive;preston;defined;0.1;0.1;0.25
1011;6;1000;additive;preston;defined;0.1;0.1;0.25
1011;7;1000;additive;preston;defined;0.1;0.1;0.25
1011;8;1000;additive;preston;defined;0.1;0.1;0.25
1011;9;1000;additive;preston;defined;0.1;0.1;0.25
1012;1;1000;additive;preston;defined;0.1;0.1;0.25
1012;10;1000;additive;preston;defined;0.1;0.1;0.25
1012;11;1000;additive;preston;defined;0.1;0.1;0.25
1012;12;1000;additive;preston;defined;0.1;0.1;0.25
1012;13;1000;additive;preston;defined;0.1;0.1;0.25
1012;14;1000;additive;preston;defined;0.1;0.1;0.25
1012;15;1000;additive;preston;defined;0.1;0.1;0.25
1012;16;1000;additive;preston;defined;0.1;0.1;0.25
1012;17;1000;additive;preston;defined;0.1;0.1;0.25
1012;18;1000;additive;preston;defined;0.1;0.1;0.25
1012;19;1000;additive;preston;defined;0.1;0.1;0.25
1012;2;1000;additive;preston;defined;0.1;0.1;0.25
